
数据库,pig

表名,sys_dept,表说明,部门管理
字段名,字段类型,主键,可为空,默认值,说明
dept_id,bigint,是,否,,部门ID
name,varchar(50),,是,NULL,部门名称
sort_order,int,,否,0,排序
create_by,varchar(64),,否, ,创建人
update_by,varchar(64),,否, ,修改人
create_time,datetime,,是,NULL,创建时间
update_time,datetime,,是,NULL,修改时间
del_flag,char(1),,是,0,删除标志
parent_id,bigint,,是,NULL,父级部门ID

表名,sys_dict,表说明,字典表
字段名,字段类型,主键,可为空,默认值,说明
id,bigint,是,否,,编号
dict_type,varchar(100),,是,NULL,字典类型
description,varchar(100),,是,NULL,描述
create_by,varchar(64),,否, ,创建人
update_by,varchar(64),,否, ,修改人
create_time,datetime,,是,NULL,创建时间
update_time,datetime,,是,NULL,更新时间
remarks,varchar(255),,是,NULL,备注信息
system_flag,char(1),,是,0,系统标志
del_flag,char(1),,是,0,删除标志

表名,sys_dict_item,表说明,字典项
字段名,字段类型,主键,可为空,默认值,说明
id,bigint,是,否,,编号
dict_id,bigint,,否,,字典ID
item_value,varchar(100),,是,NULL,字典项值
label,varchar(100),,是,NULL,字典项名称
dict_type,varchar(100),,是,NULL,字典类型
description,varchar(100),,是,NULL,字典项描述
sort_order,int,,否,0,排序（升序）
create_by,varchar(64),,否, ,创建人
update_by,varchar(64),,否, ,修改人
create_time,datetime,,是,NULL,创建时间
update_time,datetime,,是,NULL,更新时间
remarks,varchar(255),,是,NULL,备注信息
del_flag,char(1),,是,0,删除标志

表名,sys_file,表说明,文件管理表
字段名,字段类型,主键,可为空,默认值,说明
id,bigint,是,否,,编号
file_name,varchar(100),,是,NULL,文件名
bucket_name,varchar(200),,是,NULL,文件存储桶名称
original,varchar(100),,是,NULL,原始文件名
type,varchar(50),,是,NULL,文件类型
file_size,bigint,,是,NULL,文件大小
create_by,varchar(64),,否, ,创建人
update_by,varchar(64),,否, ,修改人
create_time,datetime,,是,NULL,上传时间
update_time,datetime,,是,NULL,更新时间
del_flag,char(1),,是,0,删除标志

表名,sys_log,表说明,日志表
字段名,字段类型,主键,可为空,默认值,说明
id,bigint,是,否,,编号
log_type,char(1),,是,0,日志类型
title,varchar(255),,是,NULL,日志标题
service_id,varchar(32),,是,NULL,服务ID
create_by,varchar(64),,是, ,创建人
update_by,varchar(64),,是, ,修改人
create_time,datetime,,是,NULL,创建时间
update_time,datetime,,是,NULL,更新时间
remote_addr,varchar(255),,是,NULL,远程地址
user_agent,varchar(1000),,是,NULL,用户代理
request_uri,varchar(255),,是,NULL,请求URI
method,varchar(10),,是,NULL,请求方法
params,text,,是,,请求参数
time,bigint,,是,NULL,执行时间
del_flag,char(1),,是,0,删除标志
exception,text,,是,,异常信息

表名,sys_menu,表说明,菜单权限表
字段名,字段类型,主键,可为空,默认值,说明
menu_id,bigint,是,否,,菜单ID
name,varchar(32),,是,NULL,菜单名称
en_name,varchar(128),,是,NULL,英文名称
permission,varchar(32),,是,NULL,权限标识
path,varchar(128),,是,NULL,路由路径
parent_id,bigint,,是,NULL,父菜单ID
icon,varchar(64),,是,NULL,菜单图标
visible,char(1),,是,1,是否可见，0隐藏，1显示
sort_order,int,,是,1,排序值，越小越靠前
keep_alive,char(1),,是,0,是否缓存，0否，1是
embedded,char(1),,是,NULL,是否内嵌，0否，1是
menu_type,char(1),,是,0,菜单类型，0目录，1菜单，2按钮
create_by,varchar(64),,否, ,创建人
create_time,datetime,,是,CURRENT_TIMESTAMP,创建时间
update_by,varchar(64),,否, ,修改人
update_time,datetime,,是,NULL,更新时间
del_flag,char(1),,是,0,删除标志，0未删除，1已删除

表名,sys_oauth_client_details,表说明,终端信息表
字段名,字段类型,主键,可为空,默认值,说明
id,bigint,是,否,,ID
client_id,varchar(32),,否,,客户端ID
resource_ids,varchar(256),,是,NULL,资源ID集合
client_secret,varchar(256),,是,NULL,客户端秘钥
scope,varchar(256),,是,NULL,授权范围
authorized_grant_types,varchar(256),,是,NULL,授权类型
web_server_redirect_uri,varchar(256),,是,NULL,回调地址
authorities,varchar(256),,是,NULL,权限集合
access_token_validity,int,,是,NULL,访问令牌有效期（秒）
refresh_token_validity,int,,是,NULL,刷新令牌有效期（秒）
additional_information,varchar(4096),,是,NULL,附加信息
autoapprove,varchar(256),,是,NULL,自动授权
del_flag,char(1),,是,0,删除标记，0未删除，1已删除
create_by,varchar(64),,否, ,创建人
update_by,varchar(64),,否, ,修改人
create_time,datetime,,是,NULL,创建时间
update_time,datetime,,是,NULL,更新时间

表名,sys_post,表说明,岗位信息表
字段名,字段类型,主键,可为空,默认值,说明
post_id,bigint,是,否,,岗位ID
post_code,varchar(64),,否,,岗位编码
post_name,varchar(50),,否,,岗位名称
post_sort,int,,否,,岗位排序
remark,varchar(500),,是,NULL,岗位描述
del_flag,char(1),,否,0,是否删除  -1：已删除  0：正常
create_time,datetime,,是,NULL,创建时间
create_by,varchar(64),,否,,创建人
update_time,datetime,,是,NULL,更新时间
update_by,varchar(64),,否,,更新人

表名,sys_public_param,表说明,公共参数配置表
字段名,字段类型,主键,可为空,默认值,说明
public_id,bigint,是,否,,编号
public_name,varchar(128),,是,NULL,名称
public_key,varchar(128),,是,NULL,键
public_value,varchar(128),,是,NULL,值
status,char(1),,是,0,状态，0禁用，1启用
validate_code,varchar(64),,是,NULL,校验码
create_by,varchar(64),,否, ,创建人
update_by,varchar(64),,否, ,修改人
create_time,datetime,,否,CURRENT_TIMESTAMP,创建时间
update_time,datetime,,是,NULL,更新时间
public_type,char(1),,是,0,类型，0未知，1系统，2业务
system_flag,char(1),,是,0,系统标识，0非系统，1系统
del_flag,char(1),,是,0,删除标记，0未删除，1已删除

表名,sys_role,表说明,系统角色表
字段名,字段类型,主键,可为空,默认值,说明
role_id,bigint,是,否,,角色ID
role_name,varchar(64),,是,NULL,角色名称
role_code,varchar(64),,是,NULL,角色编码
role_desc,varchar(255),,是,NULL,角色描述
create_by,varchar(64),,否, ,创建人
update_by,varchar(64),,否, ,修改人
create_time,datetime,,否,CURRENT_TIMESTAMP,创建时间
update_time,datetime,,是,NULL,更新时间
del_flag,char(1),,是,0,删除标记，0未删除，1已删除

表名,sys_role_menu,表说明,角色菜单表
字段名,字段类型,主键,可为空,默认值,说明
role_id,bigint,,否,,角色ID
menu_id,bigint,,否,,菜单ID

表名,sys_user,表说明,用户表
字段名,字段类型,主键,可为空,默认值,说明
user_id,bigint,是,否,,用户ID
username,varchar(64),,是,NULL,用户名
password,varchar(255),,是,NULL,密码
salt,varchar(255),,是,NULL,盐值
phone,varchar(20),,是,NULL,电话号码
avatar,varchar(255),,是,NULL,头像
nickname,varchar(64),,是,NULL,昵称
name,varchar(64),,是,NULL,姓名
email,varchar(128),,是,NULL,邮箱地址
dept_id,bigint,,是,NULL,所属部门ID
create_by,varchar(64),,否, ,创建人
update_by,varchar(64),,否, ,修改人
